,Регион отбытия,Регион прибытия,Год,Всего мигрантов в возрасте 14 лет и более,Военно-служащие,Руководители,"Специалисты высшего уровня квалификации, всего",Специалисты ВУК в области науки и техники,Специалисты ВУК в области здраво-охранения,Специалисты ВУК в области образования,Специалисты ВУК в сфере бизнеса и администрирования,Специалисты ВУК по инфор-мационно-коммуникационным технологиям (ИКТ),"Специалисты ВУК в области права, гуманитарных областей и культуры",Специалисты среднего уровня квалификации всего,В области науки и техники,Средний медицинский персонал здравоохранения,Специалисты (ср.квал) по экономической и административной деятельности,"Специалитсы (ср. квал) в области правовой, социальной работы, культуры, спорта и родственных занятий",Специалитсы (ср. квал) в области информационно-коммуникационным технологиям (ИКТ),"Служащие, занятые подготовкой и оформлением документации, учетом и обслуживанием, всего",Служащие общего профиля и обслуживающие офисную технику,Служащие сферы обслуживания населения,Служащие в сфере обработки числовой информации и учета материальных ценностей,"Работники сферы обслуживания и торговли, охраны граждан и собственности","Квалифицированные работники сельского и лесного хозяйства, рыбоводства и рыболовства","Квалифицированные рабочие промышленности, строительства, транспорта и рабочие родственных занятий","Операторы производственных установок и машин, сборщики и водители",Неквалифицированные рабочие,Не указано
0,Российская Федерация,Белгородская область,2019,36031,1046,448,3209,158,371,679,397,162,213,2456,147,347,185,230,67,1188,97,609,35,1453,598,1684,159,574,14246
1,Центральный федеральный округ,Белгородская область,2019,26623,618,350,2521,120,290,537,305,135,165,1889,97,280,137,181,45,915,72,471,27,1180,519,1297,120,478,10094
2,Белгородская область,Белгородская область,2019,19480,382,292,2156,100,247,467,258,118,144,1654,82,247,122,154,41,787,54,401,24,1011,467,1117,108,411,8032
3,Брянская область,Белгородская область,2019,143,9,0,11,1,1,1,1,1,1,4,0,1,0,0,0,1,1,0,0,9,1,2,1,2,91
4,Владимирская область,Белгородская область,2019,76,3,1,4,0,0,1,1,0,0,1,0,0,0,0,0,3,0,1,0,1,0,1,0,2,43
5,Воронежская область,Белгородская область,2019,1468,62,8,54,3,8,10,3,1,3,37,5,5,4,4,1,26,3,17,0,31,12,25,1,14,313
6,Ивановская область,Белгородская область,2019,58,3,1,5,0,1,1,1,0,0,2,0,0,0,0,0,2,0,2,0,2,0,3,0,4,20
7,Калужская область,Белгородская область,2019,79,2,0,4,0,1,1,1,0,0,3,0,2,0,0,0,1,0,1,0,3,0,2,0,0,35
8,Костромская область,Белгородская область,2019,44,4,0,5,0,0,0,0,1,0,2,0,0,0,0,0,1,0,1,0,2,0,4,0,0,23
9,Курская область,Белгородская область,2019,1573,57,14,105,5,17,24,11,5,8,88,4,12,6,11,0,39,8,18,0,53,20,73,5,15,761
10,Липецкая область,Белгородская область,2019,177,15,3,16,2,4,2,1,0,1,15,1,2,1,2,0,3,0,3,0,6,7,8,0,1,65
11,Московская область,Белгородская область,2019,1212,29,6,70,4,4,11,19,3,4,41,3,8,3,3,1,17,1,8,2,29,2,20,4,8,220
12,Орловская область,Белгородская область,2019,143,8,2,6,0,1,1,1,0,0,4,0,0,0,0,0,5,0,3,0,4,3,4,0,2,83
13,Рязанская область,Белгородская область,2019,56,4,1,3,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,3,0,2,0,0,17
14,Смоленская область,Белгородская область,2019,71,8,3,5,0,0,2,0,0,0,1,0,0,0,0,0,2,2,0,0,2,1,4,0,1,24
15,Тамбовская область,Белгородская область,2019,91,6,1,3,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,1,2,1,4,0,2,40
16,Тверская область,Белгородская область,2019,95,3,0,14,1,1,1,2,3,0,1,0,0,0,0,0,3,0,3,0,7,1,5,0,2,44
17,Тульская область,Белгородская область,2019,119,7,0,3,0,0,1,0,0,0,3,0,0,0,1,0,7,0,5,0,3,1,7,0,1,55
18,Ярославская область,Белгородская область,2019,57,5,1,4,0,0,3,0,0,0,3,1,0,0,0,1,2,0,2,0,0,2,0,0,2,17
19,г.Москва,Белгородская область,2019,1681,11,17,53,4,5,11,6,3,4,24,1,3,1,6,0,14,3,6,0,12,1,16,1,11,211
20,Северо-Западный федеральный округ,Белгородская область,2019,2410,76,24,155,10,22,29,17,7,17,132,12,17,20,12,5,59,5,24,1,59,11,71,9,19,769
21,Республика Карелия,Белгородская область,2019,66,2,1,3,1,1,0,0,0,0,6,1,0,2,1,0,0,0,0,0,2,0,3,1,1,32
22,Республика Коми,Белгородская область,2019,446,6,14,50,2,5,6,10,2,5,47,3,5,7,4,3,14,2,5,0,16,2,19,3,4,219
23,Архангельская область,Белгородская область,2019,245,7,3,19,1,2,6,0,1,2,22,3,4,2,2,2,14,1,6,0,14,1,10,2,4,109
24,Hенецкий авт.округ,Белгородская область,2019,20,0,0,4,0,0,2,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,11
25,Архангельская область без Ненецкого АО,Белгородская область,2019,225,7,3,15,1,2,4,0,1,1,22,3,4,2,2,2,12,1,5,0,14,1,9,2,4,98
26,Вологодская область,Белгородская область,2019,57,5,0,2,0,0,0,0,0,0,5,0,2,1,1,0,2,0,1,0,0,0,2,0,0,27
27,Калининградская область,Белгородская область,2019,75,10,0,3,2,1,0,0,0,0,3,0,0,1,0,0,1,0,1,0,0,0,3,2,0,31
28,Ленинградская область,Белгородская область,2019,205,6,1,13,0,2,1,1,1,3,9,1,1,1,0,0,2,0,0,0,7,0,6,0,2,48
29,Мурманская область,Белгородская область,2019,495,26,2,33,2,7,7,3,1,4,27,2,4,4,1,0,15,0,7,1,15,5,17,1,5,196
30,Новгородская область,Белгородская область,2019,42,1,0,2,0,0,2,0,0,0,1,0,0,0,0,0,3,0,0,0,0,2,0,0,0,17
31,Псковская область,Белгородская область,2019,50,2,0,1,0,1,0,0,0,0,3,0,0,1,1,0,2,0,1,0,1,0,0,0,0,14
32,г.Санкт-Петербург,Белгородская область,2019,729,11,3,29,2,3,7,3,2,3,9,2,1,1,2,0,6,2,3,0,4,1,11,0,3,76
33,Южный федеральный округ,Белгородская область,2019,1309,42,3,65,6,9,14,8,3,3,60,6,6,2,7,2,47,7,22,2,32,15,36,7,12,548
34,Республика Адыгея,Белгородская область,2019,19,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,1,6
35,Республика Калмыкия,Белгородская область,2019,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7
36,Республика Крым,Белгородская область,2019,210,6,0,14,4,1,4,0,0,1,9,1,0,2,1,0,5,2,1,0,4,6,10,1,2,119
37,Краснодарский край,Белгородская область,2019,487,12,1,19,0,4,4,4,2,0,17,1,1,0,2,1,21,3,13,0,11,1,8,0,6,167
38,Астраханская область,Белгородская область,2019,75,7,0,4,1,1,0,1,0,0,2,0,1,0,1,0,2,0,0,0,2,0,4,0,1,32
39,Волгоградская область,Белгородская область,2019,153,9,0,9,1,1,1,1,0,1,6,1,0,0,1,1,9,1,3,1,3,1,3,1,0,72
40,Ростовская область,Белгородская область,2019,270,6,2,11,0,1,3,2,0,0,20,2,4,0,2,0,8,1,4,1,10,7,9,4,2,122
41,г.Севастополь,Белгородская область,2019,84,1,0,8,0,1,2,0,1,1,4,0,0,0,0,0,2,0,1,0,2,0,1,0,0,23
42,Северо-Кавказский федеральный округ,Белгородская область,2019,485,85,6,27,1,5,7,2,1,2,16,0,2,2,2,0,12,0,7,1,5,3,12,0,8,242
43,Республика Дагестан,Белгородская область,2019,176,57,2,9,0,3,3,0,0,1,6,0,2,1,1,0,1,0,0,0,3,2,1,0,1,88
44,Республика Ингушетия,Белгородская область,2019,28,5,1,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18
45,Кабардино-Балкарская Республика,Белгородская область,2019,59,12,0,5,1,0,2,0,0,0,3,0,0,0,0,0,4,0,4,0,0,0,3,0,0,25
46,Карачаево-Черкесская Республика,Белгородская область,2019,17,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,13
47,Республика Северная Осетия- Алания,Белгородская область,2019,38,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,2,0,2,19
48,Чеченская Республика,Белгородская область,2019,17,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7
49,Ставропольский край,Белгородская область,2019,150,2,2,10,0,1,2,2,0,1,7,0,0,1,1,0,6,0,2,1,1,0,6,0,3,72
50,Приволжский федеральный округ,Белгородская область,2019,912,96,11,69,2,9,16,11,3,4,48,3,6,6,4,1,30,3,19,1,36,16,49,5,12,378
51,Республика Башкортостан,Белгородская область,2019,59,8,0,4,1,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,6,1,7,0,0,22
52,Республика Марий Эл,Белгородская область,2019,28,5,0,2,0,1,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,1,0,0,14
53,Республика Мордовия,Белгородская область,2019,14,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,1,0,0,3
54,Республика Татарстан(Татарстан),Белгородская область,2019,53,8,0,3,0,0,1,0,0,0,4,0,0,1,0,0,0,0,0,0,3,0,3,0,0,19
55,Удмуртская Республика,Белгородская область,2019,27,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3,0,3,0,0,1,3,0,0,14
56,Чувашская Республика(Чувашия),Белгородская область,2019,29,2,2,1,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,1,17
57,Пермский край,Белгородская область,2019,93,3,2,9,0,2,1,2,0,1,5,0,2,1,0,0,3,0,1,0,4,0,5,2,4,47
58,Кировская область,Белгородская область,2019,52,3,0,5,0,0,1,1,0,0,6,0,0,2,2,0,2,0,2,0,0,3,2,1,0,19
59,Hижегородская область,Белгородская область,2019,116,12,2,15,1,2,5,3,0,1,4,0,0,0,0,0,0,0,0,0,1,0,5,0,1,41
60,Оренбургская область,Белгородская область,2019,106,10,2,8,0,1,1,2,0,0,10,2,0,0,2,1,9,1,3,1,4,4,6,0,1,46
61,Пензенская область,Белгородская область,2019,47,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,1,2,2,24
62,Самарская область,Белгородская область,2019,110,24,0,7,0,2,2,2,0,0,2,0,2,0,0,0,1,1,0,0,4,1,8,0,2,36
63,Саратовская область,Белгородская область,2019,132,11,2,12,0,1,1,0,3,2,7,0,2,0,0,0,8,1,7,0,4,1,4,0,1,60
64,Ульяновская область,Белгородская область,2019,46,6,0,2,0,0,2,0,0,0,5,0,0,1,0,0,1,0,1,0,3,0,3,0,0,16
65,Уральский федеральный округ,Белгородская область,2019,1592,32,19,132,8,12,28,16,4,4,108,7,16,9,10,6,40,3,19,2,47,9,85,4,13,896
66,Курганская область,Белгородская область,2019,34,3,0,1,0,0,0,1,0,0,3,0,1,0,2,0,1,0,0,0,1,0,2,0,0,21
67,Свердловская область,Белгородская область,2019,183,10,2,13,1,2,2,0,0,1,12,0,3,2,1,0,5,0,3,0,9,2,7,0,0,85
68,Тюменская область,Белгородская область,2019,1218,13,17,103,6,7,23,14,3,3,82,7,12,5,7,6,29,3,13,2,31,5,67,4,12,710
69,Ханты-Мансийский автономный округ,Белгородская область,2019,489,5,9,43,2,3,11,3,3,1,35,2,6,3,3,2,11,1,5,1,20,3,32,2,6,274
70,Ямало-Hенецкий автономный округ,Белгородская область,2019,652,3,7,58,4,4,11,10,0,2,42,3,6,2,4,4,16,2,7,1,9,2,29,1,3,392
71,Тюменская область без авт. округов,Белгородская область,2019,77,5,1,2,0,0,1,1,0,0,5,2,0,0,0,0,2,0,1,0,2,0,6,1,3,44
72,Челябинская область,Белгородская область,2019,157,6,0,15,1,3,3,1,1,0,11,0,0,2,0,0,5,0,3,0,6,2,9,0,1,80
73,Сибирский федеральный округ,Белгородская область,2019,1039,45,16,95,4,11,20,17,2,4,78,13,7,0,3,4,30,2,16,0,31,9,59,5,13,529
74,Республика Алтай,Белгородская область,2019,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
75,Республика Тыва,Белгородская область,2019,12,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
76,Республика Хакасия,Белгородская область,2019,12,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,7
77,Алтайский край,Белгородская область,2019,97,8,0,10,0,1,3,1,0,1,7,0,0,0,0,0,2,0,1,0,1,3,5,0,3,49
78,Красноярский край,Белгородская область,2019,415,5,8,38,2,3,9,6,1,2,32,7,3,0,2,1,9,0,6,0,7,1,24,1,3,230
79,Иркутская область,Белгородская область,2019,183,10,3,18,2,3,4,1,0,0,12,4,0,0,0,1,9,1,5,0,12,2,8,0,2,85
80,Кемеровская область,Белгородская область,2019,81,4,0,5,0,0,0,2,0,1,9,0,2,0,0,2,4,0,2,0,1,0,10,1,0,42
81,Новосибирская область,Белгородская область,2019,120,4,2,14,0,3,2,5,1,0,9,2,0,0,1,0,1,1,0,0,7,1,9,1,1,57
82,Омская область,Белгородская область,2019,75,7,3,6,0,1,1,1,0,0,5,0,2,0,0,0,3,0,1,0,2,2,2,1,4,33
83,Томская область,Белгородская область,2019,41,1,0,3,0,0,0,1,0,0,3,0,0,0,0,0,1,0,0,0,1,0,0,1,0,20
84,Дальневосточный федеральный округ,Белгородская область,2019,1661,52,19,145,7,13,28,21,7,14,125,9,13,9,11,4,55,5,31,1,63,16,75,9,19,790
85,Республика Бурятия,Белгородская область,2019,56,6,0,0,0,0,0,0,0,0,4,1,0,0,1,0,1,0,0,0,2,0,4,0,1,23
86,Республика Саха (Якутия),Белгородская область,2019,297,0,4,19,1,2,7,1,0,2,29,2,4,2,2,0,9,1,5,0,13,0,17,4,4,161
87,Забайкальский край,Белгородская область,2019,94,3,0,10,1,0,3,2,1,0,8,1,1,1,2,0,6,0,3,0,4,0,6,0,3,43
88,Камчатский край,Белгородская область,2019,194,5,5,22,2,2,3,3,1,0,12,1,0,2,0,1,5,1,3,0,7,0,9,0,1,112
89,Приморский край,Белгородская область,2019,144,7,2,12,0,1,1,3,1,2,9,0,1,0,0,1,2,0,2,0,5,5,4,1,4,58
90,Хабаровский край,Белгородская область,2019,181,16,1,16,1,2,4,1,1,0,12,0,3,0,2,1,4,0,2,0,9,1,10,2,2,87
91,Амурская область,Белгородская область,2019,118,6,2,14,0,1,1,4,1,2,8,1,0,0,0,0,8,1,6,0,5,0,3,0,2,63
92,Магаданская область,Белгородская область,2019,225,1,4,29,1,2,8,3,1,2,17,1,3,1,2,0,5,1,3,0,13,4,11,0,0,96
93,Сахалинская область,Белгородская область,2019,178,5,1,9,0,1,1,1,1,2,14,1,1,3,1,1,8,0,4,0,1,5,3,2,0,85
94,Еврейская автономная область,Белгородская область,2019,30,2,0,4,0,0,0,1,0,1,3,0,0,0,1,0,1,0,1,0,2,1,2,0,0,14
95,Чукотский авт.округ,Белгородская область,2019,144,1,0,10,1,2,0,2,0,3,9,1,0,0,0,0,6,1,2,1,2,0,6,0,2,48
96,Российская Федерация,Брянская область,2019,26688,491,334,1588,110,219,308,215,47,82,1356,54,169,125,127,64,673,54,308,22,731,228,648,115,309,9949
97,Центральный федеральный округ,Брянская область,2019,22799,329,299,1396,84,197,277,192,43,66,1146,48,149,98,109,46,587,48,273,18,643,202,559,103,276,8715
98,Белгородская область,Брянская область,2019,139,14,2,8,0,0,2,4,0,1,5,0,0,0,0,0,2,0,1,0,2,3,4,2,1,49
99,Брянская область,Брянская область,2019,15813,203,250,1221,75,164,241,168,36,56,987,36,123,86,93,39,494,39,227,16,551,185,484,95,244,7474
100,Владимирская область,Брянская область,2019,85,3,2,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,2,1,1,0,0,35
101,Воронежская область,Брянская область,2019,182,20,5,4,0,0,0,0,0,1,5,1,0,1,0,1,9,1,5,1,4,0,1,1,1,38
102,Ивановская область,Брянская область,2019,61,1,3,3,0,0,1,0,2,0,7,0,0,0,0,0,2,0,0,0,0,0,0,1,0,21
103,Калужская область,Брянская область,2019,342,2,1,24,2,7,2,2,2,0,10,0,4,1,1,0,6,2,3,0,6,1,8,0,4,191
104,Костромская область,Брянская область,2019,20,1,2,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,5
105,Курская область,Брянская область,2019,339,12,2,10,0,3,1,0,1,1,6,0,1,1,0,0,7,0,5,0,11,1,4,0,3,56
106,Липецкая область,Брянская область,2019,54,3,0,3,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,4,1,1,0,2,16
107,Московская область,Брянская область,2019,1702,17,14,33,4,6,2,6,1,2,45,4,6,5,4,2,25,1,15,0,27,1,18,2,5,243
108,Орловская область,Брянская область,2019,423,8,4,21,0,1,7,2,0,3,9,1,2,0,3,0,6,1,2,0,5,0,2,1,3,70
109,Рязанская область,Брянская область,2019,73,3,1,1,0,0,1,0,0,0,1,0,0,0,0,0,2,0,1,0,2,0,1,0,1,16
110,Смоленская область,Брянская область,2019,551,26,6,18,1,5,6,2,0,0,17,1,5,2,2,2,12,2,4,1,8,4,9,0,3,132
111,Тамбовская область,Брянская область,2019,39,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13
112,Тверская область,Брянская область,2019,126,2,0,7,1,2,2,1,1,0,6,0,1,1,1,0,3,0,2,0,1,3,2,0,0,37
113,Тульская область,Брянская область,2019,91,4,1,4,0,0,1,2,0,0,5,1,1,0,0,1,1,0,0,0,1,0,3,1,3,29
114,Ярославская область,Брянская область,2019,67,4,2,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,1,0,0,1,14
115,г.Москва,Брянская область,2019,2692,2,4,38,1,8,11,5,0,2,32,3,6,1,4,0,17,2,8,0,18,1,20,0,4,276
116,Северо-Западный федеральный округ,Брянская область,2019,1650,28,6,65,3,9,12,9,1,5,68,2,9,9,6,8,30,1,13,2,30,13,15,3,11,392
117,Республика Карелия,Брянская область,2019,16,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,7
118,Республика Коми,Брянская область,2019,136,1,0,10,2,1,4,1,0,0,12,1,1,2,0,1,10,0,4,1,5,0,4,0,0,76
119,Архангельская область,Брянская область,2019,77,2,1,5,0,2,0,1,0,0,5,0,2,0,0,0,1,0,0,0,3,2,0,1,1,27
120,Hенецкий авт.округ,Брянская область,2019,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
121,Архангельская область без Ненецкого АО,Брянская область,2019,73,2,1,5,0,2,0,1,0,0,5,0,2,0,0,0,0,0,0,0,3,2,0,1,1,26
122,Вологодская область,Брянская область,2019,29,1,0,2,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,14
123,Калининградская область,Брянская область,2019,96,5,1,2,0,1,0,0,0,0,2,0,0,1,0,0,3,0,1,0,0,0,1,0,2,27
124,Ленинградская область,Брянская область,2019,221,2,0,9,0,2,0,1,0,1,8,0,1,1,0,1,1,0,0,0,2,1,2,1,1,41
125,Мурманская область,Брянская область,2019,244,9,2,16,1,3,5,2,0,0,25,1,4,2,2,4,10,1,6,0,8,8,5,0,4,103
126,Новгородская область,Брянская область,2019,21,1,0,1,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,3,0,0,1,0,4
127,Псковская область,Брянская область,2019,83,4,2,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,3,1,1,0,1,13
128,г.Санкт-Петербург,Брянская область,2019,727,3,0,19,0,0,2,3,1,3,11,0,1,2,3,1,4,0,2,0,3,1,1,0,1,80
129,Южный федеральный округ,Брянская область,2019,521,23,8,24,5,3,1,3,1,2,27,0,1,2,6,1,10,2,1,1,13,1,8,6,8,161
130,Республика Адыгея,Брянская область,2019,16,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2
131,Республика Калмыкия,Брянская область,2019,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
132,Республика Крым,Брянская область,2019,67,2,1,1,1,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,2,0,2,0,1,33
133,Краснодарский край,Брянская область,2019,229,8,2,7,2,1,0,1,1,0,12,0,1,0,2,0,5,1,1,1,4,0,3,3,0,52
134,Астраханская область,Брянская область,2019,20,3,0,1,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,1,1,0,5
135,Волгоградская область,Брянская область,2019,49,3,2,3,1,1,0,0,0,0,3,0,0,0,2,0,2,0,0,0,3,1,1,1,1,15
136,Ростовская область,Брянская область,2019,104,5,3,9,1,1,1,2,0,2,4,0,0,0,0,1,2,1,0,0,4,0,0,0,6,46
137,г.Севастополь,Брянская область,2019,31,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,5
138,Северо-Кавказский федеральный округ,Брянская область,2019,178,21,4,12,2,0,3,2,0,1,13,0,1,3,0,0,8,0,4,0,3,2,3,0,2,86
139,Республика Дагестан,Брянская область,2019,66,11,2,4,0,0,1,1,0,0,5,0,0,1,0,0,1,0,1,0,1,0,0,0,2,39
140,Республика Ингушетия,Брянская область,2019,5,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
141,Кабардино-Балкарская Республика,Брянская область,2019,13,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,6
142,Карачаево-Черкесская Республика,Брянская область,2019,9,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
143,Республика Северная Осетия- Алания,Брянская область,2019,14,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
144,Чеченская Республика,Брянская область,2019,12,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4
145,Ставропольский край,Брянская область,2019,59,2,0,5,2,0,1,0,0,0,3,0,1,2,0,0,5,0,2,0,2,2,2,0,0,24
146,Приволжский федеральный округ,Брянская область,2019,493,31,7,30,3,2,5,4,2,2,34,2,4,2,3,3,8,0,4,0,8,3,16,1,4,181
147,Республика Башкортостан,Брянская область,2019,27,0,1,2,0,0,0,0,0,0,6,0,0,0,0,1,1,0,1,0,0,1,0,0,0,10
148,Республика Марий Эл,Брянская область,2019,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
149,Республика Мордовия,Брянская область,2019,12,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2
150,Республика Татарстан(Татарстан),Брянская область,2019,31,1,0,3,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,8
151,Удмуртская Республика,Брянская область,2019,19,1,0,1,0,0,1,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,10
152,Чувашская Республика(Чувашия),Брянская область,2019,14,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,5
153,Пермский край,Брянская область,2019,52,3,0,1,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,1,0,1,0,1,27
154,Кировская область,Брянская область,2019,35,1,0,1,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,1,0,3,0,0,14
155,Hижегородская область,Брянская область,2019,63,5,1,3,0,0,0,1,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,19
156,Оренбургская область,Брянская область,2019,34,9,0,1,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,2,0,1,10
157,Пензенская область,Брянская область,2019,22,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12
158,Самарская область,Брянская область,2019,59,3,2,5,0,0,2,0,0,1,7,1,1,1,0,0,2,0,1,0,2,2,0,0,1,16
159,Саратовская область,Брянская область,2019,89,5,1,6,1,1,1,1,0,1,4,0,1,0,2,0,0,0,0,0,2,0,4,1,0,33
160,Ульяновская область,Брянская область,2019,30,1,1,5,1,0,0,1,1,0,1,0,1,0,0,0,1,0,1,0,0,0,3,0,0,11
161,Уральский федеральный округ,Брянская область,2019,428,25,4,34,7,5,5,1,0,5,30,2,3,5,1,2,16,1,6,1,18,1,27,1,3,143
162,Курганская область,Брянская область,2019,22,5,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,2,0,0,10
163,Свердловская область,Брянская область,2019,76,8,0,2,0,1,0,0,0,1,3,0,1,0,0,0,1,0,1,0,2,1,3,0,0,24
164,Тюменская область,Брянская область,2019,279,4,4,29,7,3,5,1,0,2,23,2,1,3,1,2,13,0,4,1,9,0,20,1,3,96
165,Ханты-Мансийский автономный округ,Брянская область,2019,112,2,3,13,6,1,3,1,0,0,12,2,0,2,1,0,6,0,1,1,5,0,10,0,1,43
166,Ямало-Hенецкий автономный округ,Брянская область,2019,131,1,0,14,0,2,2,0,0,2,6,0,0,1,0,2,7,0,3,0,4,0,7,0,1,42
167,Тюменская область без авт. округов,Брянская область,2019,36,1,1,2,1,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,3,1,1,11
168,Челябинская область,Брянская область,2019,51,8,0,3,0,1,0,0,0,2,3,0,0,2,0,0,2,1,1,0,5,0,2,0,0,13
169,Сибирский федеральный округ,Брянская область,2019,318,21,6,10,1,1,1,2,0,0,20,0,1,2,0,1,9,2,4,0,10,2,9,0,2,140
170,Республика Алтай,Брянская область,2019,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
171,Республика Тыва,Брянская область,2019,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
172,Республика Хакасия,Брянская область,2019,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
173,Алтайский край,Брянская область,2019,33,4,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,19
174,Красноярский край,Брянская область,2019,131,3,2,5,1,0,0,1,0,0,10,0,0,1,0,1,6,1,3,0,1,0,3,0,2,48
175,Иркутская область,Брянская область,2019,42,1,2,4,0,0,1,1,0,0,4,0,0,0,0,0,1,0,1,0,4,1,0,0,0,20
176,Кемеровская область,Брянская область,2019,30,4,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,14
177,Новосибирская область,Брянская область,2019,30,3,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,3,0,0,14
178,Омская область,Брянская область,2019,32,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,19
179,Томская область,Брянская область,2019,11,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4
180,Дальневосточный федеральный округ,Брянская область,2019,301,13,0,17,5,2,4,2,0,1,18,0,1,4,2,3,5,0,3,0,6,4,11,1,3,131
181,Республика Бурятия,Брянская область,2019,8,2,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
182,Республика Саха (Якутия),Брянская область,2019,26,0,0,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,2,2,2,1,0,11
183,Забайкальский край,Брянская область,2019,32,5,0,3,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,18
